"no";"nama";"asma";"arti";"tipe";"ayat";"ayat_start";"halaman"
"102";"At Takaatsur";"التكاثر";"Bermegah-Megahan";"mekah";"8";"6168";"600-600"
"103";"Al 'Ashr";"العصر";"Masa";"mekah";"3";"6176";"601-601"
"104";"Al Humazah";"الهمزة";"Pengumpat";"mekah";"9";"6179";"601-601"
"105";"Al Fiil";"الفيل";"Gajah";"mekah";"5";"6188";"601-601"
"106";"Quraisy";"قريش";"Suku Quraysy";"mekah";"4";"6193";"602-602"
"107";"Al Maa'uun";"الماعون";"Barang-Barang yang Berguna";"mekah";"7";"6197";"602-602"
"108";"Al Kautsar";"الكوثر";"Nikmat yang Banyak";"mekah";"3";"6204";"602-602"
"109";"Al Kafirun";"الكافرون";"Orang-Orang Kafir";"mekah";"6";"6207";"603-603"
"110";"An Nashr";"النصر";"Pertolongan";"madinah";"3";"6213";"603-603"
"111";"Al Lahab";"المسد";"Gejolak Api";"mekah";"5";"6216";"603-603"
"112";"Al Ikhlash";"الإخلاص";"Kemurnian Keesaan Allah";"mekah";"4";"6221";"604-604"
"113";"Al Falaq";"الفلق";"Waktu Subuh";"mekah";"5";"6225";"604-604"
"114";"An Naas";"الناس";"Manusia";"mekah";"6";"6230";"604-604"
